,City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speeds
0,Tlaxco,MX,75,1522691100,27,19.61,-98.12,296.15,5.1
1,Boston,US,90,1522692900,80,42.36,-71.06,277.15,2.1
2,Hundorp,NO,8,1522693909,78,61.55,9.94,265.058,1.12
3,Hustopece,CZ,0,1522692000,69,48.94,16.74,280.15,3.1
4,Movilita,RO,0,1522692000,46,44.65,26.48,284.15,2.1
5,Sint-Genesius-Rode,BE,92,1522693200,66,50.74,4.35,285.15,5.1
6,Trebic,CZ,0,1522692000,52,49.21,15.88,280.15,2.6
7,La Marque,US,40,1522691700,78,29.37,-94.97,301.15,5.7
8,Poltavka,RU,68,1522693920,92,54.36,71.76,270.858,3.42
9,Powder Springs,US,1,1522691760,27,33.86,-84.68,300.15,4.1
10,Orleans,BR,24,1522693913,92,-28.36,-49.29,296.058,2.22
11,Lomianki,PL,0,1522692000,69,52.33,20.89,277.15,2.1
12,Leu,RO,0,1522692000,42,44.19,24.0,282.15,1.5
13,Szentkiraly,HU,0,1522691100,66,46.92,19.92,282.15,1.0
14,Mersing,MY,0,1522693915,92,2.43,103.84,299.058,3.32
15,Krasnozerskoye,RU,44,1522693915,86,53.98,79.24,266.808,3.62
16,Krasnovka,RU,48,1522693917,74,48.37,40.26,284.708,5.27
17,Dampol,PH,75,1522688400,78,14.88,120.81,300.15,2.1
18,Balboa,CO,76,1522693836,95,2.04,-77.22,294.108,0.62
19,Gojo,JP,0,1522692000,100,34.35,135.7,286.15,2.6
20,Pniv,UA,0,1522692000,90,48.62,24.53,276.15,2.0
21,Beachwood,US,1,1522691820,64,41.46,-81.51,278.15,3.1
22,Zlatograd,BG,20,1522691400,76,41.38,25.09,285.15,2.6
23,Naranjito,EC,75,1522692000,62,-2.17,-79.46,303.15,2.6
24,Schiller Park,US,90,1522692900,32,41.96,-87.87,279.15,3.6
25,Zabid,YE,76,1522693928,33,14.2,44.5,289.008,1.47
26,Salym,RU,32,1522693920,87,60.06,71.48,269.108,3.02
27,Kameyama,JP,0,1522690200,82,34.86,136.45,288.15,1.5
28,Am Timan,TD,0,1522693921,23,11.04,20.28,302.108,2.22
29,Seon,CH,40,1522692000,57,47.35,8.16,286.15,1.17
30,Country Club,BR,40,1522692000,65,-23.02,-47.01,300.15,4.1
31,Kelso,US,90,1522691760,81,46.14,-122.91,281.15,2.6
32,Nazarovo,RU,44,1522693933,80,56.01,90.42,266.058,3.27
33,Bourne,US,90,1522693620,93,41.74,-70.6,277.15,3.1
